iter	MAPE	RMSE	R2	MAE
445	0.3024284603	946305.2608	0.9376823957	585642.3113
446	0.3019358029	945314.9603	0.9378127571	584979.1829
447	0.3018461477	944574.8243	0.9379100982	584756.1199
448	0.3015794773	943941.7269	0.9379933013	584493.7736
449	0.3014290549	943284.5227	0.9380796136	584323.3274
450	0.3014105332	942658.9358	0.9381617176	584081.2178
451	0.3013585926	941098.5602	0.938366269	583521.5546
452	0.301150917	940991.2915	0.9383803185	583478.7719
453	0.3004980022	940506.5784	0.9384437839	583034.1091
454	0.3004683527	939842.7148	0.9385306531	582708.631
455	0.2999281543	939524.0271	0.9385723328	582405.5767
456	0.2997383502	938002.0066	0.9387711961	581824.5299
457	0.2996969113	937328.6517	0.9388590721	581611.1926
458	0.2995558613	937056.6639	0.9388945499	581524.4912
459	0.2995163911	936963.3571	0.9389067184	581506.3145
460	0.2991453463	936251.2967	0.9389995407	581003.2947
461	0.2990566483	935666.8637	0.9390756732	580845.4824
462	0.2984646848	935450.1057	0.9391038975	580618.8061
463	0.2983237508	934749.0882	0.9391951333	580350.3265
464	0.2976231697	934200.772	0.9392664476	579888.582
465	0.2970755822	933596.3214	0.9393450144	579604.0929
466	0.2969325441	932928.2049	0.9394317973	579320.9907
467	0.2966186716	932538.062	0.9394824449	579039.3918
468	0.2964299019	931397.0682	0.9396304451	578487.8398
469	0.2962888761	930826.4572	0.9397043921	578169.972
470	0.2958769451	929781.1742	0.9398397354	577535.3447
471	0.2954583125	929380.022	0.9398916363	577147.6817
472	0.2949618548	928676.5074	0.9399826025	576781.9483
473	0.2947884419	927483.4657	0.9401367084	576244.6319
474	0.2946231321	926949.6148	0.9402056021	575947.7803
475	0.2943049774	926831.5048	0.9402208389	575876.744
476	0.2941958896	925727.449	0.9403631738	575309.6862
477	0.2937925353	925473.1489	0.9403959341	575149.9422
478	0.293409133	925144.6719	0.940438237	574880.3081
479	0.2933241766	924175.1038	0.9405630151	574550.4173
480	0.2931836003	923456.8264	0.9406553692	574137.4641
481	0.2929106241	923295.9374	0.940676046	574054.3033
482	0.2929166293	922838.5423	0.9407348089	573798.034
483	0.2925022699	921772.2595	0.9408716842	573131.0607
484	0.292353671	921075.1626	0.9409610829	572642.9178
485	0.2923789028	921048.2511	0.9409645327	572643.9885
486	0.29241022	920245.441	0.9410674017	572282.6239
487	0.292197574	919478.3134	0.9411656145	571830.6759
488	0.2917952453	918684.6628	0.9412671369	571440.7331
489	0.2917742642	918086.3026	0.9413436201	571227.4785
490	0.2917496142	917504.7218	0.9414179107	570972.9948
491	0.2915562129	916608.0967	0.9415323526	570576.2415
492	0.291057231	915742.7506	0.9416426961	569909.2678
493	0.2905090606	915050.2443	0.9417309251	569418.4288
494	0.2904448912	914833.0156	0.9417585874	569280.1486
495	0.2903985995	914369.5737	0.9418175811	569119.0151
496	0.2902207473	913528.4501	0.9419245753	568591.2583
497	0.2897781124	912961.2621	0.9419966681	568165.9147
498	0.2892527427	912472.9276	0.9420587024	567782.4608
499	0.2891763206	911850.6374	0.9421377053	567559.7668
500	0.288841939	911573.1466	0.9421729168	567335.3103
501	0.2888345455	910448.1891	0.9423155557	566908.7378
502	0.2888052972	910362.7887	0.9423263768	566891.5828
503	0.2884905404	909980.503	0.9423748041	566658.42
